기간	자치구	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황
기간	자치구	합계	개	개	개	개	개	고양이	고양이	고양이	고양이	고양이	기타	기타	기타	기타	기타
기간	자치구	합계	계	인도(주인)	입양분양	폐사안락사	계류기증	계	인도(주인)	입양분양	폐사안락사	계류기증	계	인도(주인)	입양분양	폐사안락사	계류기증
2019	은평구	337	252	87	41	106	18	71	3	3	64	1	14	2	5	6	1
2019	서대문구	166	141	53	27	52	9	21	1	2	18	-	4	-	4	-	-
2019	마포구	541	152	70	58	16	8	371	5	206	139	21	18	3	8	6	1
2019	양천구	326	208	116	88	4	-	110	4	59	47	-	8	-	6	2	-
2019	강서구	264	177	66	37	63	11	79	1	8	67	3	8	1	3	4	-
2019	구로구	294	158	48	36	67	7	130	1	6	37	86	6	-	3	3	-
2019	금천구	201	128	39	26	56	7	68	-	18	50	-	5	1	2	2	-
2019	영등포구	230	142	53	31	42	16	73	3	12	58	-	15	-	12	2	1
2019	동작구	270	185	111	39	30	5	68	2	20	46	-	17	-	4	13	-
2019	관악구	815	428	181	225	22	-	371	17	282	72	-	16	-	15	1	-
2019	서초구	174	110	35	32	31	12	57	1	6	49	1	7	1	1	5	-
2019	강남구	234	147	44	49	46	8	77	5	22	49	1	10	1	8	1	-
2019	송파구	269	179	75	36	58	10	83	5	9	68	1	7	-	6	1	-
2019	강동구	416	223	83	77	55	8	186	2	73	100	11	7	1	5	1	-
