year,month,title,writer,rank,split_writer,nouns
2003,11,아씨방 일곱 동무,이영경  (지은이) |,8,"[('이영경  ', '지은이')]","['아', '씨방', '동무']"
2003,11,해커스 그래머 (Hackers Grammar),David Cho  (지은이) |,9,"[('David Cho  ', '지은이')]",['해커스']
2003,11,폰더 씨의 위대한 하루,"앤디 앤드루스 (지은이), 이종인  (옮긴이) |",10,"[('앤디 앤드루스 ', '지은이'), (', 이종인  ', '옮긴이')]","['폰', '하루']"
2003,11,손이 나왔네,"하야시 아키코 (지은이), 하야시 아키코  (그림) |",11,"[('하야시 아키코 ', '지은이'), (', 하야시 아키코  ', '그림')]",['손']
2003,11,나의 꿈 10억 만들기,김대중  (지은이) |,12,"[('김대중  ', '지은이')]","['꿈', '10억']"
2003,11,연금술사,"파울로 코엘료 (지은이), 최정수  (옮긴이) |",13,"[('파울로 코엘료 ', '지은이'), (', 최정수  ', '옮긴이')]",['연금술사']
2003,11,도대체 그 동안 무슨 일이 일어났을까?,이호백  (글) |,14,"[('이호백  ', '글')]","['동안', '일']"
2003,11,어린이 세계지도책,"DK 편집부 (엮은이), 브라이언 델프 (그림), 강미라  (옮긴이) |",15,"[('DK 편집부 ', '엮은이'), (', 브라이언 델프 ', '그림'), (', 강미라  ', '옮긴이')]","['어린이', '세계', '지도책']"
2003,11,이보영의 영어회화사전 (테이프 별매),"이보영 (지은이), 스캇 모틀릭, 스콧 피셔, Brian J. Stuart (감수) | 두산동아 (참고서) |",16,"[('이보영 ', '지은이'), (', 스캇 모틀릭, 스콧 피셔, Brian J. Stuart ', '감수'), (' | 두산동아 ', '참고서')]","['이보영', '영어', '회화', '사전', '테이프', '별', '매']"
2003,11,삼미 슈퍼스타즈의 마지막 팬클럽,박민규  (지은이) |,17,"[('박민규  ', '지은이')]","['삼미', '슈퍼스타즈', '마지막', '팬클럽']"
